1, Al Baqarah 141
2, Al Baqarah 252
3, Al Imran 92
4, An Nisaa 23
5, An Nisaa 147
6, Al Maidah 81
7, Al Anam 110
8, Al Araf 87
9, Al Anfal 40
10, At Tauba 92
11, Hud 5
12, Yusuf 52
13, Ibrahim 52
14, An Nahl 128
15, Al Kahf 74
16, Ta Ha 135
17, Al Hajj 78
18, Al Furqan 20
19, An Naml 55
20, Al Ankabut 45
21, Al Ahzab 30
22, Ya Sin 27
23, Az Zumar 31
24, Fussilat 46
25, Al Jathiya 37
26, Az Zariyat 30
27, Al Hadid 29
28, At Tahrim 12
29, Al Mursalat 50
30, An Nas 6
